CHANGE_ANALYST,CHANGE_NO,CHANGE_DESCRITPION,REASON_FOR_CHANGE,CCB_SUBMIT_DATE
Prameela R,ECO-61235,"Prod: Release of EX-Old Monk Manufacturing Test Requirements Per Affected Items.

PROC-10190 Old monk Manufacturing_Test_Requirements: 
- Rev 01 release to prototype lifecyle.",PROC-10190_Old monk Manufacturing_Test_Requirements releasing to Agile as per DRT review and approved,46:49.0
Sherry Nguyen,ECO-61461,"Prod: PROC-9797 Juniper Laminate Electrical Performance Data: Business Process update per the Affected Items Section Part Object Attachments.

1. PROC-9797: Rev 09
- Updated Data
- Created LG8 Data tab","Updated Data
Created Loss Group 8 data tab",23:10.0
Sherry Nguyen,ECO-61356,"Prod: Release of MX960-P3DC-IP-B10 to be created for AT&T as an Advanced fixed System. Per Affected Items Section.

1. Releasing to Production Lifecycle, Rev AA:

MX960-P3DC-IP-B10

Note: PDC to update the below details post CCB approvals and before ECO Release
- FRS Commit Date = ECO Release Date",Production Release of MX960-P3DC-IP-B10,14:55.0
Sarangabani S,ECO-61442,"Proto: 711-179262 Assy, PCA, Fan Tray Adapter Board, MX-Model-X.

Release Etch 2 files for MX-Model-X FAN Tray Adapter Board: Update per the Affected Items Section.

1. 711-179262, Rev 02
- Reference BOM redlines for specific changes.
- SCH-188609 Proto release, Rev 01
- OUTLN-188609 Proto release, Rev 01

2. 511-188609
- Proto release, Rev 01

3. 750-184478
- Rev to Track",Fan connector pinout change,19:35.0
Pradeep Holla,ECO-61378,"Prod: vJunos-Switch,24.2/R1-S2: New SW Release per the Affected Items Section.

This ECO releases ""820/822"" P/N's into Production as standalone images.

1. ""820/822"" Application Package Production Release.","Production Release of vJunos-Switch,24.2/R1-S2. This (3) image is being posted to the Web for download. Distribution Type - General.",37:45.0
Prameela R,ECO-61200,"Prod: New shippable junos release for SKU's, QFX-Absinthe, EX-Opus Ridge

For QFX-Absinthie:

Update 23.4R2-S2 on QFX5120 platform per the affected items section and BOM redlines.

1. Under all below product number BOM's:
QFX5120-48T-AFI
QFX5120-48T-AFI-T
QFX5120-48T-AFO
QFX5120-48T-AFO-T
QFX5120-48T-CHAS
QFX5120-48T-DC-AFI
QFX5120-48T-DC-AFO:

- DELETE 817-179464 22.4R3.25
- ADD 817-185239 23.4R2-S2      

For EX4600-Ridge OS Update per affected items BOM redlines.

Under all below product number BOMs
EX4600-40F-AFI
EX4600-40F-AFI-T
EX4600-40F-AFO
EX4600-40F-AFO-T
EX4600-40F-DC-AFI
EX4600-40F-DC-AFO
EX4600-40F-S   

- DELETE 817-180181   21.4R3-S6.5
- ADD 817-184275   21.4R3-S8.5

Note:
1. Validation log is at ""Attachments"" tab.","1. Update 23.4R2-S2 on QFX5120 platform.
2. Update 21.4R3-S8.5 on EX4600 models.",39:51.0
Girija Amaragol,M38705B,"EOL Reactivation for CRMA

Transaction was not completed. Hence reactivation again w.r.t M38705

SKU : SRX3K-PWR-DC2
RMA R200542377 
SN J152RQ002C03Z
SKU : PWR-MX960-AC-S 
RMA ID: R200541520
Part SN:  ACPG5324

PDC Note:
For EOS HW/SW/SVC: Change from EOS (Obsolete) to SHIP (Production) 
Push EOS date out from 10/31/2020 and 12/01/2023 to 12/31/2099",EOL Reactivation for CRMA,51:00.0
Abel Alcantar,DEV-24781,"Prod: The purpose of this Deviation is to allow FVN/FJZ to make the following part(s) substitutions for qualification purposes.

New Qual Part(s) are from,

Qual MPN 1 & MFR 1 => MAX7310AUE+T & Maxim
Qual MPN 2 & MFR 2 => PCA9557PWR & Texas

A. Replace JPN: 310-013175 with above mentioned MPN(s) on the following as described in C

B.	Mfg.Partner to work request MFR free of charge samples that will be shipped to Mfg.Partner directly from MFR, Mfg.Partner shall copy Juniper GCM found in Agile under “Commodity Manager” field under the respective Qual JPN & CEs, found in Agile under “Component Engineer” and “Context Component Engineer” fields of the Qual JPN along with the DEV Originator on all samples related communication with MFRs.

C.	Factory Instructions:

C1. Build: 711-XXX -> 750-XXX qty= 1per below each for each new supplier for each MPN under qual 
(New AVL to be qualified: TWO suppliers) 

1. MPN 1 & MFR 1 => MAX7310AUE+T & Maxim
2. MPN 2 & MFR 2 => PCA9557PWR & Texas

Build path 

310-013175->711-057161->750-055992->MIC-MRATE = QTY=10 (MIC-MRATEs tested in MPC line cards use needed MPC line cards to test 10 MICs) 

C2. Qualification samples will be only new build. However, FGI may be used for qualification samples where the SKU being requested in the DEV has not had any demand 90 days after the DEV release date.

*********************************

Qualification tests to be performed, DVT followed by ORT on DVT tested HW

********************************
1. DVT test is required - 

All Qual Assemblies need to go through full MFG test (production test and capture yield report In spared sheet and add in MCO when initiated to add 2nd source MPNs

********************************

Perform DVT per below (whichever is applicable) 

  1. PROC-9980 for products FRS in 2020 OR 
  2. PROC-8423 for products released before 2020

Specific test:

**************
HOT swap / power cycle / system reboot (which ever applicable for each DUT) 
test to be perform 100 times at 25C, COLD and HOT for each DUT  	

**************
No SW Test required

*************
ORT test > Subset of On-going Reliability Test 

1. After DVT testing completed run Subset of On-going Reliability Test (ORT test per PROC-8989) use one full system to test these cards (you can piggyback with any other ORT test) Subset of On-going Reliability Test to be run  

***********

   a> run while the system is in a hot box at an elevated temperature, typically 40-45C.   
   b> The default test time will be 168 hours (1 week).  
   c> Capture ORT test results (In spreadsheet when MCO is initiated to add 2nd source)

Additional information 
The On-going Reliability test (ORT) test is an extended reliability test which is performed under a single extreme corner case environmental condition. In general, the test will be an extended consumer-like traffic test (such as Line Rate JIT or Data Path Test) The test will not require any mastership switches, but instead will run entirely in the default mastership state as it would in a customers' environment.  If there are any product specific requirements that deviate from this process, they will be detailed in the product's test plan",Qualifying Maxim and Texas MPNs as additional sources.,44:11.0
Girija Amaragol,DEV-25270,"Prod: The purpose of this Deviation is to allow ACCTON to make the following part substitutions for qualification purposes

New Qual Part is VIRTIUM TECHNOLOGY MPN: VTUEL0GJXC008-BJ11.

With each of the above-mentioned new Qual parts, build each of 650-level systems as listed below.

A. Substitute 740-141571 with the above-mentioned alternate at respective locations.

740-141571->611-133584->650-134054->650-134042->EX4100-48MP System required = 10

B. Juniper CE team is already working with VIRTIUM for the samples and samples will be shipped ACCTON.

C. Factory Instructions:

C1. Qualification qty breakup:
--------------------------------------------------------------------------------
3 x 740-141571->611-133584->650-134054->650-134042->EX4100-48MP -> DVT
1 x 740-141571->611-133584->650-134054->650-134042->EX4100-48MP -> S/W Certification Test
--------------------------------------------------------------------------------

C2. Qualification samples will be only new build. However, FGI may be used for qualification samples where the SKU being requested in the DEV has not had any demand 90 days after the DEV release date

C3. All Qualification units need to go through standard manufacturing and Test processes with the following specific actions. Yield reports should be submitted once manufacturing production process is completed.

- Install DEV-25270 on all Qual sample assemblies.
- Record all serial numbers with DEV label and put on the NO SHIP list
- Send the product test yield reports as soon as all units have completed Mfg tests to CM-DVT- HTR reports CM-DVT-HTR-reports@juniper.net  and the DEV Originator.  
- Ensure email header subject line indicates the Qual JPN, Qual MFR, and the DEV#.

C4. The qualification assemblies shall be shipped to Juniper (see Special Instructions) as soon as the required number of units have passed Mfg Test, prior to DVT

C5. ACCTON should send DVT test plan document to Michael Nguyen <michaeln@juniper.net>. ACCTON shall start the DVT procedure once test plan is approved by Michael.

C6. After completion of DVT, prepare and review HTR report with the Juniper On site TE team and then email to CM-DVT-HTR alias CM-DVT-HTR-reports@juniper.net. and the DEV Originator.  Ensure email header subject line indicates the Qual JPN, Qual MFR and the DEV#.

D. Completion / Closure

The qualification units are not to be used for any other DVT and customer shipments until the qualification has been fully completed by Juniper, reports reviewed and an ECO / MCO has been signed off.

See Special Instructions Section of DEV for shipping directions.",VIRTIUM TECHNOLOGY current MPN (VTDU31XC008G-A902) is EOL and they have suggested VTUEL0GJXC008-BJ11 as an alternate.,51:09.0
Girija Amaragol,DEV-25260,"Proto: PTX-Octomore: 711-173307 Assy, PCA, SIB-8, PTX-Octomore: This Deviation is to request Flextronics-Penang to perform the following changes in the SIB P1C build.

DEV Qty: 92

Instructions:
1. Mount JPN: 310-119479  instead of JPN:310-178896.

-Track the affected SNs.
- Affix the DEV-25260 label on the board.",Due to part shortage,17:09.0
